Isolate ID,Host,Collection date,Size (Mb),Scaffolds,GC Content,CDS,Host disease,Level,BioProject Accession,BioSample Accession,Assembly Accession,Location,Isolation source,Isolation type,Additional Metadata
BR12-DEC,Homo sapiens,2015,4.84897,5.0,50.6031,4377.0,urinary tract infection,Chromosome,PRJNA511007,SAMN10748588,GCA_004116815.1,"Brazil: Botucatu, Sao Paulo State",urine,clinical,
BR14-DEC,Homo sapiens,2015,5.11045,1.0,50.6,4700.0,urinary tract infection,Chromosome,PRJNA511007,SAMN10748593,GCA_004116855.1,"Brazil: Botucatu, Sao Paulo State",urine,clinical,
BR25-DEC,Homo sapiens,2015,4.96088,4.0,50.4782,4578.0,urinary tract infection,Chromosome,PRJNA511007,SAMN10748596,GCA_004116875.1,"Brazil: Botucatu, Sao Paulo State",urine,clinical,
BR29-DEC,Homo sapiens,2015,5.0101,14.0,50.8489,4641.0,urinary tract infection,Chromosome,PRJNA511007,SAMN10748603,GCA_004116895.1,"Brazil: Botucatu, Sao Paulo State",urine,clinical,
BR32-DEC,Homo sapiens,2015,4.84857,3.0,50.7884,4362.0,urinary tract infection,Chromosome,PRJNA511007,SAMN10748605,GCA_004116915.1,"Brazil: Botucatu, Sao Paulo State",urine,clinical,
BR43-DEC,Homo sapiens,2015,5.16134,3.0,50.6368,4792.0,urinary tract infection,Chromosome,PRJNA511007,SAMN10748606,GCA_004118895.1,"Brazil: Botucatu, Sao Paulo State",urine,clinical,
BR64-DEC,Homo sapiens,2015,5.03002,8.0,50.8293,4657.0,urinary tract infection,Chromosome,PRJNA511007,SAMN10748607,GCA_004116935.1,"Brazil: Botucatu, Sao Paulo State",urine,clinical,
BWH_1002_E_col,Homo sapiens,2023,5.26249,92.0,,,Urinary tract infection,Contig,,SAMN36728891,GCA_032328735.2,USA:Boston,urine,clinical,
BWH_1010_E_col,Homo sapiens,2023,5.01063,72.0,,,Urinary tract infection,Contig,,SAMN36728966,GCA_031776135.2,USA:Boston,urine,clinical,
BWH_1013_E_col,Homo sapiens,2023,4.9345,67.0,,,Urinary tract infection,Contig,,SAMN36728912,GCA_032331135.1,USA:Boston,urine,clinical,
BWH_1014_E_col,Homo sapiens,2023,5.1009,65.0,,,Urinary tract infection,Contig,,SAMN36729071,GCA_032329835.2,USA:Boston,urine,clinical,
BWH_1015_E_col,Homo sapiens,2023,5.16233,70.0,,,Urinary tract infection,Contig,,SAMN36729120,GCA_032328135.2,USA:Boston,urine,clinical,
BWH_1016_E_col,Homo sapiens,2023,5.45943,91.0,,,Urinary tract infection,Contig,,SAMN36726616,GCA_032335895.2,USA:Boston,urine,clinical,
BWH_1017_E_col,Homo sapiens,2023,5.16445,66.0,,,Urinary tract infection,Contig,,SAMN36726701,GCA_032337575.2,USA:Boston,urine,clinical,
BWH_1018_E_col,Homo sapiens,2023,5.08864,59.0,,,Urinary tract infection,Contig,,SAMN36728906,GCA_032330575.2,USA:Boston,urine,clinical,
BWH_1019_E_col,Homo sapiens,2023,5.2081,89.0,,,Urinary tract infection,Contig,,SAMN36726620,GCA_032335175.2,USA:Boston,urine,clinical,
BWH_1031_E_col,Homo sapiens,2023,5.12409,79.0,,,Urinary tract infection,Contig,,SAMN36728910,GCA_031776005.2,USA:Boston,urine,clinical,
BWH_1032_E_col,Homo sapiens,2023,5.20841,105.0,,,Urinary tract infection,Contig,,SAMN36726679,GCA_032336425.2,USA:Boston,urine,clinical,
BWH_1033_E_col,Homo sapiens,2023,5.38881,77.0,,,Urinary tract infection,Contig,,SAMN36729185,GCA_031776375.2,USA:Boston,urine,clinical,
BWH_1036_E_col,Homo sapiens,2023,5.23749,83.0,,,Urinary tract infection,Contig,,SAMN36728892,GCA_032330055.2,USA:Boston,urine,clinical,
BWH_1038_E_col,Homo sapiens,2023,5.72635,144.0,,,Urinary tract infection,Contig,,SAMN36727301,GCA_032333575.2,USA:Boston,urine,clinical,
BWH_1045_E_col,Homo sapiens,2023,5.09445,109.0,,,Urinary tract infection,Contig,,SAMN36729131,GCA_032329275.2,USA:Boston,urine,clinical,
BWH_1046_E_col,Homo sapiens,2023,5.05803,72.0,,,Urinary tract infection,Contig,,SAMN36729089,GCA_032330035.1,USA:Boston,urine,clinical,
BWH_1048_E_col,Homo sapiens,2023,5.61571,104.0,,,Urinary tract infection,Contig,,SAMN36726457,GCA_032337975.2,USA:Boston,urine,clinical,
BWH_1059_E_col,Homo sapiens,2023,5.21554,94.0,,,Urinary tract infection,Contig,,SAMN36726685,GCA_032336595.2,USA:Boston,urine,clinical,
BWH_1060_E_col,Homo sapiens,2023,5.33798,120.0,,,Urinary tract infection,Contig,,SAMN36729007,GCA_032328995.2,USA:Boston,urine,clinical,
BWH_1077_E_col,Homo sapiens,2023,5.26067,107.0,,,Urinary tract infection,Contig,,SAMN36728938,GCA_032331675.2,USA:Boston,urine,clinical,
BWH_1081_E_col,Homo sapiens,2023,5.05487,62.0,,,Urinary tract infection,Contig,,SAMN36726643,GCA_032336225.2,USA:Boston,urine,clinical,
BWH_1082_E_col,Homo sapiens,2023,5.25946,77.0,,,Urinary tract infection,Contig,,SAMN36726404,GCA_032337835.2,USA:Boston,urine,clinical,
BWH_1085_E_col,Homo sapiens,2023,5.37761,100.0,,,Urinary tract infection,Contig,,SAMN36728946,GCA_032331775.2,USA:Boston,urine,clinical,
BWH_1089_E_col,Homo sapiens,2023,5.12836,66.0,,,Urinary tract infection,Contig,,SAMN36729043,GCA_031776155.2,USA:Boston,urine,clinical,
BWH_1092_E_col,Homo sapiens,2023,5.36509,74.0,,,Urinary tract infection,Contig,,SAMN36726403,GCA_032337735.2,USA:Boston,urine,clinical,
BWH_1094_E_col,Homo sapiens,2023,5.40336,126.0,,,Urinary tract infection,Contig,,SAMN36729125,GCA_032329255.2,USA:Boston,urine,clinical,
BWH_1109_E_col,Homo sapiens,2023,5.15156,67.0,,,Urinary tract infection,Contig,,SAMN36727317,GCA_032334035.2,USA:Boston,urine,clinical,
BWH_1123_E_col,Homo sapiens,2023,5.49539,115.0,,,Urinary tract infection,Contig,,SAMN36726695,GCA_032336995.2,USA:Boston,Rectal,clinical,
BWH_1125_E_col,Homo sapiens,2023,5.33441,111.0,,,Urinary tract infection,Contig,,SAMN37516924,GCA_032182045.2,USA:Boston,urine,clinical,
BWH_1130_E_col,Homo sapiens,2023,5.01388,71.0,,,Urinary tract infection,Contig,,SAMN36728890,GCA_032328745.2,USA:Boston,urine,clinical,
BWH_1145_E_col,Homo sapiens,2023,5.17057,106.0,,,Urinary tract infection,Contig,,SAMN36726696,GCA_032337015.2,USA:Boston,urine,clinical,
BWH_1149_E_col,Homo sapiens,2023,5.18451,93.0,,,Urinary tract infection,Contig,,SAMN36728956,GCA_032330195.2,USA:Boston,urine,clinical,
BWH_1151_E_col,Homo sapiens,2023,5.10298,74.0,,,Urinary tract infection,Contig,,SAMN36726419,GCA_032338155.2,USA:Boston,urine,clinical,
BWH_1155_E_col,Homo sapiens,2023,5.40981,107.0,,,Urinary tract infection,Contig,,SAMN36727314,GCA_032333955.2,USA:Boston,urine,clinical,
BWH_1160_E_col,Homo sapiens,2023,5.34751,84.0,,,Urinary tract infection,Contig,,SAMN36726413,GCA_033200695.2,USA:Boston,urine,clinical,
BWH_1161_E_col,Homo sapiens,2023,5.25923,112.0,,,Urinary tract infection,Contig,,SAMN36726697,GCA_032337055.2,USA:Boston,urine,clinical,
BWH_1182_E_col,Homo sapiens,2023,5.17135,68.0,,,Urinary tract infection,Contig,,SAMN36726477,GCA_032338555.2,USA:Boston,urine,clinical,
BWH_1183_E_col,Homo sapiens,2023,4.94453,103.0,,,Urinary tract infection,Contig,,SAMN36728941,GCA_032331715.2,USA:Boston,urine,clinical,
BWH_1188_E_col,Homo sapiens,2023,4.95702,92.0,,,Urinary tract infection,Contig,,SAMN36729104,GCA_032331075.2,USA:Boston,urine,clinical,
BWH_1190_E_col,Homo sapiens,2023,5.09096,124.0,,,Urinary tract infection,Contig,,SAMN36729192,GCA_032332355.2,USA:Boston,urine,clinical,
BWH_1209_E_col,Homo sapiens,2023,5.05421,129.0,,,Urinary tract infection,Contig,,SAMN36728928,GCA_032331595.2,USA:Boston,urine,clinical,
BWH_1223_E_col,Homo sapiens,2023,5.13085,72.0,,,Urinary tract infection,Contig,,SAMN36729090,GCA_032330115.2,USA:Boston,Rectal,clinical,
BWH_1224_E_col,Homo sapiens,2023,5.42788,128.0,,,Urinary tract infection,Contig,,SAMN36727287,GCA_032333355.2,USA:Boston,urine,clinical,
BWH_1226_E_col,Homo sapiens,2023,5.29711,101.0,,,Urinary tract infection,Contig,,SAMN36729036,GCA_032329715.2,USA:Boston,urine,clinical,
BWH_1228_E_col,Homo sapiens,2023,5.25265,104.0,,,Urinary tract infection,Contig,,SAMN36729013,GCA_031775895.2,USA:Boston,urine,clinical,
BWH_1231_E_col,Homo sapiens,2023,5.37829,92.0,,,Urinary tract infection,Contig,,SAMN36728895,GCA_032331735.2,USA:Boston,urine,clinical,
BWH_1238_E_col,Homo sapiens,2023,5.03611,157.0,,,Urinary tract infection,Contig,,SAMN36729199,GCA_032328495.2,USA:Boston,urine,clinical,
BWH_1242_E_col,Homo sapiens,2023,5.19542,51.0,,,Urinary tract infection,Contig,,SAMN36729100,GCA_032330955.2,USA:Boston,urine,clinical,
BWH_1250_E_col,Homo sapiens,2023,5.45879,122.0,,,Urinary tract infection,Contig,,SAMN36726667,GCA_032335275.2,USA:Boston,urine,clinical,
BWH_1253_E_col,Homo sapiens,2023,4.72355,99.0,,,Urinary tract infection,Contig,,SAMN36729149,GCA_032332075.2,USA:Boston,urine,clinical,
BWH_1254_E_col,Homo sapiens,2023,5.13372,83.0,,,Urinary tract infection,Contig,,SAMN36726437,GCA_032337875.2,USA:Boston,urine,clinical,
BWH_1255_E_col,Homo sapiens,2023,5.33192,108.0,,,Urinary tract infection,Contig,,SAMN36729093,GCA_032330915.2,USA:Boston,urine,clinical,
BWH_1256_E_col,Homo sapiens,2023,5.2517,113.0,,,Urinary tract infection,Contig,,SAMN36727315,GCA_032333975.2,USA:Boston,urine,clinical,
BWH_1285_E_col,Homo sapiens,2023,4.98186,83.0,,,Urinary tract infection,Contig,,SAMN36729121,GCA_032329175.2,USA:Boston,urine,clinical,
BWH_1290_E_col,Homo sapiens,2023,5.05727,82.0,,,Urinary tract infection,Contig,,SAMN36728929,GCA_032331575.2,USA:Boston,urine,clinical,
BWH_1293_E_col,Homo sapiens,2023,5.27238,123.0,,,Urinary tract infection,Contig,,SAMN37516880,GCA_032123075.2,USA:Boston,urine,clinical,
BWH_1294_E_col,Homo sapiens,2023,5.38892,100.0,,,Urinary tract infection,Contig,,SAMN36728967,GCA_032330315.2,USA:Boston,urine,clinical,
BWH_1295_E_col,Homo sapiens,2023,5.13275,64.0,,,Urinary tract infection,Contig,,SAMN36729103,GCA_031776345.1,USA:Boston,urine,clinical,
BWH_1299_E_col,Homo sapiens,2023,5.49564,99.0,,,Urinary tract infection,Contig,,SAMN36729106,GCA_032331095.1,USA:Boston,urine,clinical,
BWH_1300_E_col,Homo sapiens,2023,5.18475,67.0,,,Urinary tract infection,Contig,,SAMN36726675,GCA_032336395.2,USA:Boston,urine,clinical,
